Year,Bisonx10,Bison
1978,25,250
1979,40,400
1980,30,300
1981,31,310
1982,40,400
1983,45,450
1984,55,550
1985,50,500
1986,75,750
1987,65,650
1988,80,800
1989,45,450
1990,40,400
1991,55,550
1992,30,300
1993,55,550
1994,74,740
1995,70,700
1996,76,760
1997,40,400
1998,60,600
1999,55,550
2000,55,550
2001,70,700
2002,73,730
2003,90,900
2004,105,1050
2005,135,1350
2006,130,1300
2007,180,1800
2008,155,1550
2009,165,1650
2010,205,2050
2011,240,2400
2012,260,2600
2013,326,3260
2014,330,3300
2015,340,3400
2016,365,3650
2017,400,4000
2018,395,3950
