"winter","cougar","interpolated"
1987,0.68,FALSE
1988,0.77,FALSE
1989,1.18,FALSE
1990,1.32,FALSE
1991,1.36,FALSE
1992,0.82,FALSE
1993,1.30604453441296,TRUE
1994,1.34743805668018,TRUE
1995,1.38883157894738,TRUE
1996,1.43022510121459,TRUE
1997,1.47161862348179,TRUE
1998,1.99,FALSE
1999,1.76,FALSE
2000,2.46,FALSE
2001,1.52,FALSE
2002,1.52,FALSE
2003,1.87,FALSE
2004,1.76137327935223,TRUE
2005,1.80276680161944,TRUE
2006,1.84416032388664,TRUE
2007,1.88555384615385,TRUE
2008,1.92694736842105,TRUE
2009,1.96834089068827,TRUE
2010,2.00973441295547,TRUE
2011,2.05112793522268,TRUE
2012,2.09252145748988,TRUE
2013,1.88,FALSE
2014,1.94,FALSE
2015,2.33,FALSE
2016,2.05,FALSE
2017,2.05,TRUE
2018,2.05,TRUE
2019,2.05,TRUE
2020,2.05,TRUE
